Statistic Label,Year,Commodity Group,Countries and Territories,UNIT,VALUE,Commodity Name,Code,Category,Country Code
Value of Imports,2015,Dairy products and birds eggs (02),Singapore,Euro Thousand,0.0,Dairy products and birds eggs,2.0,Food & Beverages,SGP
Value of Imports,2015,Dairy products and birds eggs (02),Slovenia,Euro Thousand,74.0,Dairy products and birds eggs,2.0,Food & Beverages,SVN
Value of Imports,2015,Dairy products and birds eggs (02),Slovakia,Euro Thousand,81.0,Dairy products and birds eggs,2.0,Food & Beverages,SVK
Value of Imports,2015,Dairy products and birds eggs (02),Thailand,Euro Thousand,-1.0,Dairy products and birds eggs,2.0,Food & Beverages,THA
Value of Imports,2015,Dairy products and birds eggs (02),Turkey,Euro Thousand,-1.0,Dairy products and birds eggs,2.0,Food & Beverages,TUR
Value of Imports,2015,Dairy products and birds eggs (02),Taiwan,Euro Thousand,878.0,Dairy products and birds eggs,2.0,Food & Beverages,TWN
Value of Imports,2015,Dairy products and birds eggs (02),USA,Euro Thousand,171.0,Dairy products and birds eggs,2.0,Food & Beverages,USA
Value of Imports,2015,Dairy products and birds eggs (02),Great Britain,Euro Thousand,285724.0,Dairy products and birds eggs,2.0,Food & Beverages,GBR
Value of Imports,2015,Dairy products and birds eggs (02),Northern Ireland,Euro Thousand,175293.0,Dairy products and birds eggs,2.0,Food & Beverages,GBR
Value of Imports,2015,Dairy products and birds eggs (02),South Africa,Euro Thousand,0.0,Dairy products and birds eggs,2.0,Food & Beverages,ZAF
Value of Imports,2015,Dairy products and birds eggs (02),EU country not specified,Euro Thousand,7097.0,Dairy products and birds eggs,2.0,Food & Beverages,UNK
Value of Imports,2015,Dairy products and birds eggs (02),Other countries,Euro Thousand,1347.0,Dairy products and birds eggs,2.0,Food & Beverages,UNK
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Austria,Euro Thousand,7.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,AUT
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Australia,Euro Thousand,-1.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,AUS
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Belgium,Euro Thousand,1732.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,BEL
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Bulgaria,Euro Thousand,365.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,BGR
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Brazil,Euro Thousand,-1.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,BRA
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Canada,Euro Thousand,838.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,CAN
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Switzerland,Euro Thousand,0.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,CHE
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",China,Euro Thousand,1074.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,CHN
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Cyprus,Euro Thousand,-1.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,CYP
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Czech Republic,Euro Thousand,3.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,CZE
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Germany,Euro Thousand,16519.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,DEU
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Denmark,Euro Thousand,16264.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,DNK
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Estonia,Euro Thousand,76.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,EST
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Spain,Euro Thousand,3391.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,ESP
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Finland,Euro Thousand,-1.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,FIN
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",France,Euro Thousand,18053.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,FRA
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Greece,Euro Thousand,171.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,GRC
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Croatia,Euro Thousand,-1.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,HRV
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Hungary,Euro Thousand,2.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,HUN
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",India,Euro Thousand,4015.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,IND
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Italy,Euro Thousand,869.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,ITA
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Japan,Euro Thousand,16.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,JPN
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",South Korea,Euro Thousand,73.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,KOR
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Lithuania,Euro Thousand,240.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,LTU
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Luxembourg,Euro Thousand,-1.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,LUX
